Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Posted Date,Location Type,City,State,Extracted Skills
Data Scientist,122000,job overview a data scientist at explorelearning helps millions of children learn math and science by participating in the creation improvement and analysis of our awardwinning gamebased adaptive education products you will take a dynamic role in establishing the pedagogical ai underlying our games allowing them to produce individualized experiences for learners our ideal candidate will have a background in learning analytics and machine learning and a passion for helping children learn math and science job responsibilities o use maintain and develop our inhouse ai system to sculpt the behavior of games so they properly adapt to individual learners while ensuring that activityspecific pedagogical requirements are achieved o evaluate usergenerated logs to develop insights into the experiences of users o distill and present these findings along with recommendations for improvement to designers and other stakeholders,4.2,Cambium Learning Group,Remote,3000,2004,Private,Primary & Secondary Schools,Education,250500,08-05-2024,Town,Plano,Texas,"Data Visualization, Data Analysis, Spark"
Data Scientist,118000,our company changing the world through digital experiences is what adobes all about we give everyonefrom emerging artists to global brandseverything they need to design and deliver exceptional digital experiences were passionate about empowering people to create beautiful and powerful images videos and apps and transform how companies interact with customers across every screen were on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity we realize that new ideas can come from everywhere in the organization and we know the next big idea could be yours the opportunity do you love to solve complex business problems and use data to find the signal in the noise join the product and customer analytics team at adobe we are a highimpact highvisibility team wellsuited to individuals with a highly quantitative inquisitive bent of mind we use data science to quantify and optimize the product experience for our customers the ideal candidate will be able to work autonomously and will have a technical background with great communication and project management skills you will use data to help product marketing and engineering teams achieve operational and execution efficiencies your success is predicated on finding opportunities and providing insights that enable our enterprise business to lower customer churn increase user engagement and facilitate productled growth we are looking for a data scientist to improve the adoption and utilization of all our experience cloud products the opportunity is huge ranging from crafting experiments building machine learning models to developing new product features we need a creative selfstarter who is passionate about data and knowledge of using data science to enhance customer experience what youll do as a data scientist in a multifunctional group of product managers marketers and software developers you will tap into the underlying usage data and generate insights to develop highly effective programs for adobes experience cloud products you will analyze changes in user engagement which are key drivers of customer growth and retention you will also work with data engineers to automate data pipelines to scale user analytics you will establish relationships with partners across the experience cloud business unit to execute teams projects what you need to succeed strong proficiency with statistical programming software like python pandas scikitlearn andor r dplyr ggplot2 experience with predictive modeling and machine learning algorithms supervised and unsupervised strong knowledge of statistics hypothesis testing experience in querying manipulating and analyzing large data sets using sql andor sqllike languages experience with version control software github and data visualization tools such as tableau or powerbi understanding of experimental design measurement ab testing communicate effectively and manage relationships with partners coming from both technical and nontechnical backgrounds develop relationships with engineers and stakeholders our compensation reflects the cost of labor across several us geographic markets and we pay differently based on those defined markets the us pay range for this position is 82600 153100 annually pay within this range varies by work location and may also depend on jobrelated knowledge skills and experience your recruiter can share more about the specific salary range for the job location during the hiring process at adobe for sales roles starting salaries are expressed as total target compensation ttc base commission and shortterm incentives are in the form of sales commission plans nonsales roles starting salaries are expressed as base salary and shortterm incentives are in the form of the annual incentive plan aip in addition certain roles may be eligible for longterm incentives in the form of a new hire equity award adobe is proud to be an equal employment opportunity and affirmative action employer we do not discriminate based on gender race or color ethnicity or national origin age disability religion sexual orientation gender identity or expression veteran status or any other applicable characteristics protected by law learn more adobe aims to make adobecom accessible to any and all users if you have a disability or special need that requires accommodation to navigate our website or complete the application process email accommodationsadobecom or call 408 5363015 adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each others employees,4.4,Adobe,"San Jose, CA",10000,1982,Public,Computer Hardware Development,Information Technology,7500,24-01-2024,City,San Jose,California,"AWS, Natural Language Processing, ETL, Tableau"
Data Scientist,102000,introduction ranked by forbes as one of the worlds best employers in 2022 ibm promotes growth and innovation to lead as we enter the era of hybrid cloud and ai helping clients transform their business as a data scientist you will be a member of a technical sales agile team to codevelop innovative business solutions with our clients you will be directly collaborating and impacting the worlds most influential enterprises and brands on the adoption of nextgeneration platforms ibms comprehensive onboarding program and industryleading learning culture will prepare you with a strong foundation for client success our sales environment is collaborative and experiential youll be surrounded by bright minds and keen cocreators ready to assist as you apply practices that will compel our clients to invest in ibms products and services in this role youll be the goto subject matter expert collaborating with colleagues from various roles to define solutions and lead the way in how they get built in the age of cloud and ai this role is handson cocreating using data science machine learning and programming skills in sixweek client engagements a dayinthe life of a data scientist may include but not be limited to to be successful in this role you will need opportunities are available in atlanta ga boston ma chicago il dallas tx new york ny san francisco ca and washington dc to name a few,3.9,Ibm,"Atlanta, GA",10000,1911,Public,Information Technology Support Services,Information Technology,10000,10-03-2024,City,Atlanta,Georgia,"Docker, Python, Matplotlib, Data Cleaning"
Data Scientist,138000,the microsoft 365 team is looking for a data scientist 2 to help design and build one of the fastest growing cloud services in microsoft do you want to design and develop new components that solve complex distributed systems and search optimization problems do you want to work on a product that ships new features every week if the answer to these questions is yes then the microsoft 365 storage fabric team has an opportunity for you get in on designing and building a core part of the stack we develop software from the groundup running across thousands of servers with oceans of data we build and operate the largest enterprise cloud productivity system in the world across products such as exchange teams and sharepoint we power communication sharing search intelligent assistance for customers extensibility through microsoft graph and more throughout we maintain very high reliability and availability privacy and compliance for customers and latency in milliseconds we apply a combination of approaches from the fields of api design machine learning distributed computing workflow engines algorithm optimization and many more come to define design and deliver what enterprise cloud productivity means microsoft is an equal opportunity employer consistent with applicable law all qualified applicants will receive consideration for employment without regard to age ancestry citizenship color family or medical care leave gender identity or expression genetic information immigration status marital status medical condition national origin physical or mental disability political affiliation protected veteran or military status race ethnicity religion sex including pregnancy sexual orientation or any other characteristic protected by applicable local laws regulations and ordinances if you need assistance andor a reasonable accommodation due to a disability during the application process read more about requesting accommodations,4.3,Microsoft,"Redmond, WA",10000,1975,Public,Computer Hardware Development,Information Technology,10000,04-04-2024,City,Redmond,Washington,"Model Deployment, Big Data, Matplotlib"
Data Scientist,63000,you may not realize it but youve likely used a product today made possible by the plastics and chemicals manufactured by chevron phillips chemical from medical supplies and electronics to food packaging and cosmetics we create the building blocks for more than 70000 consumer and industrial products even as a global company with 5000 employees we maintain a small company feel and uphold a culture of respect diversity and inclusion ask any chevron phillips chemical employee what they like best about their job and universally the answer is the people i work with we value worklife balance and love to see our employees thrive both professionally and personally there has never been a better time to work for chevron phillips chemical if youre ready to grow with us and become part of our vision of being the premier chemical company apply today,3.9,Cpchem,"The Woodlands, TX",3000,2000,Private,Chemical Manufacturing,Manufacturing,10000,11-01-2024,City,The Woodlands,Texas,"Docker, PyTorch, Python, ETL"
Data Scientist,122000,the team at clients artificial intelligence center of excellence ai coe you wont be just tinkering around the edges youll be building critical solutions that will benefit our clients for years to come collect requirements and deliver high value aiml solutions that drive customer shareholder and business value the ai coe houses some of the highest caliber scientists mathematicians and statisticians who implement the use of rigorous ai quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry we are looking for an experienced data science ai engineer to join our team at client you will play a critical role in developing and finetuning ai models using the vertexai platform the ideal candidate should have a strong background in natural language processing nlp machine learning and software engineering your expertise in ai prompt engineering coupled with proficiency in the vertexai platform will be essential in creating highquality ai models to enhance the capabilities of client,3.9,Ivid Tek Inc,Remote,25,1992,Public,,,3000,28-09-2023,Town,Irving,Texas,"Git, Azure, Machine Learning"
Data Scientist,198000,position senior data scientist job location 208 s akard street dallas tx 75202 and various unanticipated locations throughout the us may work from home duties att services inc is looking for a senior data scientist in dallas tx and various unanticipated locations throughout the us may work from home to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex largescale data sets used for modeling data mining and research purposes as well as the automation of the resultant models work closely with it sales and marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production design and build large and complex data sets from spurious sources while thinking strategically about uses of data and how data use interacts with data design design and implement statistical data quality procedures around new data sources and the automation of the resultant models perform data studies and data discovery around new data sources or new uses for existing data sources implement software required for accessing and handling data appropriately implement and hand off data checking and updating procedures to teams perform statistical analyses with existing data sets in statistical packages visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization research and implement software and hardware related to mobile technology,3.6,At&T,"Dallas, TX",10000,1876,Public,Telecommunications Services,Telecommunications,10000,25-05-2024,City,Dallas,Texas,"Natural Language Processing, Model Deployment, Natural Language Processing"
Data Scientist,85000,details department workforce planning and analytics schedule full time 8hour day shift monday friday location remote benefits paid time off pto various health insurance options wellness plans retirement benefits including employer match plans longterm shortterm disability employee assistance programs eap parental leave adoption assistance tuition reimbursement ways to give back to your community,3.4,Ascension,Remote,10000,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,3000,01-09-2024,Town,Plano,Texas,"R, Snowflake, PyTorch"
Data Scientist,120000,company description visa is a world leader in digital payments facilitating more than 215 billion payments transactions between consumers merchants financial institutions and government entities across more than 200 countries and territories each year our mission is to connect the world through the most innovative convenient reliable and secure payments network enabling individuals businesses and economies to thrive when you join visa you join a culture of purpose and belonging where your growth is priority your identity is embraced and the work you do matters we believe that economies that include everyone everywhere uplift everyone everywhere your work will have a direct impact on billions of people around the world helping unlock financial access to enable the future of money movement,4.1,Visa,"Washington, DC",10000,1958,Public,Information Technology Support Services,Information Technology,10000,07-11-2024,City,Washington,DC,"Natural Language Processing, Excel, Tableau"
Data Scientist,122000,salary 5100 6872 per hour community programs is a program office within health services administration a division under the los angeles county department of health services dhs community programs mission is to improve the health and wellbeing of la countys people experiencing homelessness by providing housing and intensive care management services in addition to other responsibilities this position may have a lead role in the tracking reporting quality assurance and billing efforts for calaim a medical waiver program they will be using their expertise to help lead a team of predictive analysts who will be providing data collection analytic and billing support for calaim services tracking and medical billing while simultaneously building dashboards and providing regular descriptive analyses,3.3,Heluna Health,"Los Angeles, CA",3000,1968,Nonprofit Organization,Civic & Social Services,Nonprofit & Ngo,62,12-12-2023,City,Los Angeles,California,"Docker, Data Analysis, Hadoop"
